epoch,abuse_accuracy,abuse_loss,loss,sarcasm_accuracy,sarcasm_loss,sentiment_accuracy,sentiment_loss,val_abuse_accuracy,val_abuse_loss,val_loss,val_sarcasm_accuracy,val_sarcasm_loss,val_sentiment_accuracy,val_sentiment_loss,val_vulgar_accuracy,val_vulgar_loss,vulgar_accuracy,vulgar_loss
0,0.6137012243270874,0.09218541532754898,1.5549240112304688,0.7380272746086121,0.5515924096107483,0.6219473481178284,0.8540788888931274,0.7588832378387451,0.054867394268512726,0.8969517946243286,0.8819797039031982,0.29453688859939575,0.8305837512016296,0.5178102254867554,0.788705587387085,0.029737276956439018,0.6533460021018982,0.057067595422267914
1,0.7607041001319885,0.055563125759363174,0.5880011320114136,0.9521090984344482,0.18081103265285492,0.9173802733421326,0.32048749923706055,0.8578680157661438,0.036488763988018036,0.41719356179237366,0.9752538204193115,0.09497974812984467,0.9289340376853943,0.26660341024398804,0.8699238300323486,0.019121669232845306,0.8043133616447449,0.03113933652639389
2,0.8453853726387024,0.0382724292576313,0.20720122754573822,0.9928639531135559,0.05393177270889282,0.9868379235267639,0.09300290793180466,0.9295685291290283,0.02193983644247055,0.2564462721347809,0.9879441857337952,0.04316955432295799,0.942258894443512,0.1815279871225357,0.9340101480484009,0.009808909147977829,0.8640977144241333,0.021994104608893394
3,0.9045353531837463,0.02523038350045681,0.09929431974887848,0.9980970621109009,0.021804647520184517,0.9961941242218018,0.03691260516643524,0.9543147087097168,0.01592188887298107,0.2308439016342163,0.9835025668144226,0.04790252447128296,0.9498730897903442,0.1605912297964096,0.9689086079597473,0.00642826734110713,0.9067554473876953,0.015346688218414783
4,0.9391056299209595,0.016777347773313522,0.06146549805998802,0.9993656873703003,0.011429179459810257,0.9973041415214539,0.022664902731776237,0.9701776504516602,0.011051177978515625,0.21220806241035461,0.9879441857337952,0.040594588965177536,0.9568527936935425,0.15612128376960754,0.9803299307823181,0.004441029392182827,0.9337139129638672,0.010594069957733154
5,0.9663812518119812,0.010593551211059093,0.03588460385799408,0.9995242357254028,0.006479118950664997,0.9985727667808533,0.01152095664292574,0.9796954393386841,0.007254511117935181,0.2045954465866089,0.989847719669342,0.035867225378751755,0.9536802172660828,0.15860943496227264,0.9923858046531677,0.0028642842080444098,0.9546463489532471,0.00729095796123147
6,0.9819219708442688,0.006611532531678677,0.02357541397213936,0.9993656873703003,0.005535127595067024,0.9996828436851501,0.006982199847698212,0.9771573543548584,0.006844634190201759,0.21230949461460114,0.9879441857337952,0.04315755516290665,0.9536802172660828,0.15951278805732727,0.9911167621612549,0.0027945113833993673,0.9760545492172241,0.004446554463356733
7,0.9857279062271118,0.004922526888549328,0.017006920650601387,0.9995242357254028,0.003415194572880864,0.9998413920402527,0.005017958115786314,0.9841370582580566,0.007164393551647663,0.22939476370811462,0.9879441857337952,0.042611028999090195,0.950507640838623,0.17736706137657166,0.9911167621612549,0.002252268837764859,0.9809705018997192,0.003651235019788146
8,0.9915953278541565,0.0032108109444379807,0.011684021912515163,0.9998413920402527,0.002235035179182887,0.9996828436851501,0.00359089532867074,0.989847719669342,0.004916849546134472,0.22558237612247467,0.9866751432418823,0.04510342702269554,0.9524111747741699,0.1732923686504364,0.9923858046531677,0.002269738120958209,0.9876308441162109,0.002647277433425188
9,0.995559811592102,0.002293224213644862,0.010724998079240322,1.0,0.0018261473160237074,0.9993656873703003,0.00466314097866416,0.9860405921936035,0.005531176924705505,0.23306605219841003,0.9879441857337952,0.04527755826711655,0.9473350048065186,0.18031078577041626,0.9904822111129761,0.0019464973593130708,0.9912781715393066,0.0019424878992140293
10,0.9957183599472046,0.0019989495631307364,0.007750624790787697,1.0,0.0011017780052497983,0.9993656873703003,0.0031236400827765465,0.9885786771774292,0.0040688528679311275,0.23893247544765472,0.9879441857337952,0.04491692781448364,0.9511421322822571,0.18800435960292816,0.9923858046531677,0.0019423668272793293,0.9922296404838562,0.0015262570232152939
